initial time: 0.0
initial time: 0.0009918212890625
initial time: 0.0010025501251220703
FLOODING: round:1, frame:1, iter:1, this-value:-25.863901747228194, time-cost:0.010001182556152344, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-25.863901747228194
FLOODING: round:1, frame:1, iter:2, this-value:-46.25676931086006, time-cost:0.009000301361083984, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:3, this-value:-33.89141735242314, time-cost:0.009029865264892578, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:4, this-value:-24.187434725389156, time-cost:0.009978055953979492, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:5, this-value:-43.258461126566715, time-cost:0.00899958610534668, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:6, this-value:-31.69461641844148, time-cost:0.010004758834838867, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:7, this-value:0.0, time-cost:0.010965347290039062, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:8, this-value:-42.51416921381617, time-cost:0.012032270431518555, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:1, iter:9, this-value:-31.14928849729893, time-cost:0.011030197143554688, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:1, this-value:-25.86390174722819, time-cost:0.012000560760498047, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:2, this-value:-46.25676931086006, time-cost:0.009968042373657227, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:3, this-value:-33.89141735242313, time-cost:0.010031938552856445, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:4, this-value:-24.187434725389153, time-cost:0.010969400405883789, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:5, this-value:-43.258461126566715, time-cost:0.010000228881835938, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:6, this-value:-31.694616418441477, time-cost:0.01099848747253418, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:7, this-value:0.0, time-cost:0.010000944137573242, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:8, this-value:-42.51416921381617, time-cost:0.00999903678894043, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:2, iter:9, this-value:-31.149288497298926, time-cost:0.013000726699829102, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:1, this-value:-25.863901747228194, time-cost:0.01100468635559082, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:2, this-value:-46.25676931086006, time-cost:0.010995864868164062, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:3, this-value:-33.89141735242313, time-cost:0.010998964309692383, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:4, this-value:-24.187434725389153, time-cost:0.011005640029907227, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:5, this-value:-43.258461126566715, time-cost:0.010025501251220703, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:6, this-value:-31.69461641844148, time-cost:0.010972738265991211, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:7, this-value:0.0, time-cost:0.009996891021728516, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:8, this-value:-42.514169213816174, time-cost:0.010030508041381836, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:1, frame:3, iter:9, this-value:-31.149288497298926, time-cost:0.010004281997680664, ||iter-of-best-cache:2, frame-of-best-cache:1, round-best-value:-46.25676931086006
FLOODING: round:2, frame:1, iter:1, this-value:-72.12067105808825, time-cost:0.009025096893310547, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-72.12067105808825
FLOODING: round:2, frame:1, iter:3, this-value:-80.1481866632832, time-cost:0.010999917984008789, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:1, iter:4, this-value:-70.44420403624922, time-cost:0.010969400405883789, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:1, iter:5, this-value:-46.25676931086006, time-cost:0.0110321044921875, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:1, iter:6, this-value:-77.95138572930153, time-cost:0.009999275207519531, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:1, iter:7, this-value:-46.25676931086006, time-cost:0.008970022201538086, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:1, iter:8, this-value:-46.25676931086006, time-cost:0.011031627655029297, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:1, iter:9, this-value:-77.40605780815899, time-cost:0.009967327117919922, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:2, frame:2, iter:2, this-value:-46.25676931086006, time-cost:0.01003122329711914, ||iter-of-best-cache:2, frame-of-best-cache:2, round-best-value:-46.25676931086006
FLOODING: round:3, frame:1, iter:1, this-value:-72.12067105808825, time-cost:0.01100015640258789, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-72.12067105808825
FLOODING: round:3, frame:1, iter:3, this-value:-80.1481866632832, time-cost:0.010970830917358398, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:1, iter:4, this-value:-70.44420403624922, time-cost:0.01002955436706543, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:1, iter:5, this-value:-46.25676931086006, time-cost:0.013969182968139648, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:1, iter:6, this-value:-77.95138572930153, time-cost:0.012000322341918945, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:1, iter:7, this-value:-46.25676931086006, time-cost:0.012006998062133789, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:1, iter:8, this-value:-46.25676931086006, time-cost:0.011027097702026367, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:1, iter:9, this-value:-77.40605780815899, time-cost:0.013003110885620117, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:1, this-value:-72.12067105808825, time-cost:0.012004852294921875, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:3, this-value:-80.14818666328318, time-cost:0.011958599090576172, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:4, this-value:-70.4442040362492, time-cost:0.011037111282348633, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:5, this-value:-46.25676931086006, time-cost:0.010966062545776367, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:6, this-value:-77.95138572930153, time-cost:0.009999275207519531, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:7, this-value:-46.25676931086006, time-cost:0.010030031204223633, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:8, this-value:-46.25676931086006, time-cost:0.00996255874633789, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:2, iter:9, this-value:-77.40605780815898, time-cost:0.010030984878540039, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:3, frame:3, iter:2, this-value:-46.25676931086006, time-cost:0.011002063751220703, ||iter-of-best-cache:2, frame-of-best-cache:3, round-best-value:-46.25676931086006
FLOODING: round:4, frame:1, iter:1, this-value:-72.12067105808825, time-cost:0.009966850280761719, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-72.12067105808825
FLOODING: round:4, frame:1, iter:3, this-value:-80.1481866632832, time-cost:0.010003089904785156, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:1, iter:4, this-value:-70.44420403624922, time-cost:0.008968830108642578, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:1, iter:5, this-value:-46.25676931086006, time-cost:0.011035442352294922, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:1, iter:6, this-value:-77.95138572930153, time-cost:0.010965824127197266, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:1, iter:7, this-value:-46.25676931086006, time-cost:0.011029481887817383, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:1, iter:8, this-value:-46.25676931086006, time-cost:0.010001420974731445, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:1, iter:9, this-value:-77.40605780815899, time-cost:0.010988235473632812, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:2, iter:1, this-value:-72.12067105808825, time-cost:0.010967254638671875, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:2, iter:3, this-value:-80.14818666328318, time-cost:0.010043621063232422, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:2, iter:4, this-value:-70.4442040362492, time-cost:0.010989189147949219, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:2, iter:5, this-value:-46.25676931086006, time-cost:0.010004520416259766, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
FLOODING: round:4, frame:2, iter:6, this-value:-77.95138572930153, time-cost:0.009998559951782227, ||iter-of-best-cache:3, frame-of-best-cache:1, round-best-value:-80.1481866632832
