initial time: 4.153219938278198
round:1, server:1, server-best-value:-78.95471510430411, round-best-value:-78.95471510430411
round:1, server:2, server-best-value:-56.73267296260155, round-best-value:-78.95471510430411
round:1, server:3, server-best-value:-63.93670176841937, round-best-value:-78.95471510430411
round:1, server:4, server-best-value:-21.48900730356566, round-best-value:-78.95471510430411
round:1, server:5, server-best-value:-55.910021904847646, round-best-value:-78.95471510430411
round:1, server:6, server-best-value:-45.07346454858313, round-best-value:-78.95471510430411
round:1, server:7, server-best-value:-68.67234254035961, round-best-value:-78.95471510430411
round:1, server:8, server-best-value:-51.880738248794145, round-best-value:-78.95471510430411
round:1, server:9, server-best-value:-61.744147892449305, round-best-value:-78.95471510430411
round:1, server:10, server-best-value:-78.99308092987603, round-best-value:-78.99308092987603
round:1, server:11, server-best-value:-86.95978382154483, round-best-value:-86.95978382154483
round:1, server:12, server-best-value:-61.73190553513761, round-best-value:-86.95978382154483
round:1, server:13, server-best-value:-32.24448092044658, round-best-value:-86.95978382154483
round:1, server:14, server-best-value:-33.70587037585002, round-best-value:-86.95978382154483
round:1, server:15, server-best-value:-44.74883200417972, round-best-value:-86.95978382154483
round:2, server:1, server-best-value:-165.91449892584893, round-best-value:-165.91449892584893
round:2, server:2, server-best-value:-143.69245678414637, round-best-value:-165.91449892584893
round:2, server:3, server-best-value:-150.89648558996421, round-best-value:-165.91449892584893
round:2, server:4, server-best-value:-108.44879112511047, round-best-value:-165.91449892584893
round:2, server:5, server-best-value:-142.86980572639249, round-best-value:-165.91449892584893
round:2, server:6, server-best-value:-132.03324837012795, round-best-value:-165.91449892584893
round:2, server:7, server-best-value:-155.63212636190443, round-best-value:-165.91449892584893
round:2, server:8, server-best-value:-138.84052207033898, round-best-value:-165.91449892584893
round:2, server:9, server-best-value:-148.7039317139941, round-best-value:-165.91449892584893
round:2, server:10, server-best-value:-165.95286475142083, round-best-value:-165.95286475142083
round:2, server:11, server-best-value:-86.95978382154482, round-best-value:-165.95286475142083
round:2, server:12, server-best-value:-148.69168935668242, round-best-value:-165.95286475142083
round:2, server:13, server-best-value:-119.20426474199141, round-best-value:-165.95286475142083
round:2, server:14, server-best-value:-120.66565419739483, round-best-value:-165.95286475142083
round:2, server:15, server-best-value:-131.70861582572454, round-best-value:-165.95286475142083
