round:1, server:15, service:1, this-value:-44.74883200417972, time-cost:0.753584623336792, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:2, this-value:-13.934330296849035, time-cost:0.7624108791351318, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:3, this-value:-11.670636924879613, time-cost:0.7536599636077881, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:4, this-value:-15.36225054783476, time-cost:0.7585983276367188, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:5, this-value:-26.035634223502743, time-cost:0.7379918098449707, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:6, this-value:-18.02119285822351, time-cost:0.7845790386199951, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:7, this-value:-18.01454924142265, time-cost:0.757148265838623, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:8, this-value:-14.760513203090856, time-cost:0.7451326847076416, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:9, this-value:-7.42349693748159, time-cost:0.7420790195465088, server-best-service:1, server-best-value:-44.74883200417972
round:1, server:15, service:10, this-value:-9.108899327103519, time-cost:0.8014237880706787, server-best-service:1, server-best-value:-44.74883200417972
round:2, server:15, service:1, this-value:-131.70861582572454, time-cost:0.7296350002288818, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:2, this-value:-100.89411411839384, time-cost:0.7414798736572266, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:3, this-value:-98.63042074642442, time-cost:0.7384083271026611, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:4, this-value:-102.32203436937958, time-cost:0.7311596870422363, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:5, this-value:-112.99541804504753, time-cost:0.7974898815155029, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:6, this-value:-104.98097667976833, time-cost:0.7287693023681641, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:7, this-value:-104.97433306296745, time-cost:0.7275543212890625, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:8, this-value:-101.72029702463568, time-cost:0.7217741012573242, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:9, this-value:-94.3832807590264, time-cost:0.7241182327270508, server-best-service:1, server-best-value:-131.70861582572454
round:2, server:15, service:10, this-value:-96.06868314864833, time-cost:0.7500989437103271, server-best-service:1, server-best-value:-131.70861582572454
round:3, server:15, service:1, this-value:-210.70169675560058, time-cost:0.7143838405609131, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:2, this-value:-179.8871950482699, time-cost:0.7222819328308105, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:3, this-value:-177.62350167630046, time-cost:0.7250978946685791, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:4, this-value:-181.3151152992556, time-cost:0.7271339893341064, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:5, this-value:-191.98849897492357, time-cost:0.7187986373901367, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:6, this-value:-183.97405760964435, time-cost:0.7456092834472656, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:7, this-value:-183.96741399284352, time-cost:0.7350668907165527, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:8, this-value:-180.71337795451174, time-cost:0.7350325584411621, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:9, this-value:-173.37636168890242, time-cost:0.7229733467102051, server-best-service:1, server-best-value:-210.70169675560058
round:3, server:15, service:10, this-value:-175.06176407852442, time-cost:0.7202365398406982, server-best-service:1, server-best-value:-210.70169675560058
round:4, server:15, service:1, this-value:-289.65641185990467, time-cost:0.7248508930206299, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:2, this-value:-258.841910152574, time-cost:0.7240591049194336, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:3, this-value:-256.5782167806046, time-cost:0.7370772361755371, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:4, this-value:-260.2698304035598, time-cost:0.7179245948791504, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:5, this-value:-270.94321407922774, time-cost:0.7299604415893555, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:6, this-value:-262.9287727139485, time-cost:0.71836256980896, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:7, this-value:-262.92212909714766, time-cost:0.7384591102600098, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:8, this-value:-259.6680930588158, time-cost:0.7192897796630859, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:9, this-value:-252.33107679320656, time-cost:0.7274045944213867, server-best-service:1, server-best-value:-289.65641185990467
round:4, server:15, service:10, this-value:-254.01647918282848, time-cost:0.7400524616241455, server-best-service:1, server-best-value:-289.65641185990467
round:5, server:15, service:1, this-value:-358.3287544002644, time-cost:0.7333881855010986, server-best-service:1, server-best-value:-358.3287544002644
round:5, server:15, service:2, this-value:-327.5142526929337, time-cost:0.7272112369537354, server-best-service:1, server-best-value:-358.3287544002644
round:5, server:15, service:3, this-value:-325.2505593209642, time-cost:0.722966194152832, server-best-service:1, server-best-value:-358.3287544002644
round:5, server:15, service:4, this-value:-328.94217294391933, time-cost:0.7220668792724609, server-best-service:1, server-best-value:-358.3287544002644
round:5, server:15, service:5, this-value:-339.6155566195873, time-cost:0.7420141696929932, server-best-service:1, server-best-value:-358.3287544002644
round:5, server:15, service:6, this-value:-331.6011152543081, time-cost:0.7439308166503906, server-best-service:1, server-best-value:-358.3287544002644
