initial time: 0.009999752044677734
round:1, iter:1, this-value:-258.7153946587999, time-cost:0.013998985290527344, round-best-server:1, round-best-value:-258.7153946587999
round:1, iter:2, this-value:-214.68560268845408, time-cost:0.01700115203857422, round-best-server:1, round-best-value:-258.7153946587999
round:1, iter:3, this-value:-210.111034417282, time-cost:0.01477956771850586, round-best-server:1, round-best-value:-258.7153946587999
round:1, iter:4, this-value:-166.72111819809538, time-cost:0.012997150421142578, round-best-server:1, round-best-value:-258.7153946587999
round:1, iter:5, this-value:-189.07498412648448, time-cost:0.014964818954467773, round-best-server:1, round-best-value:-258.7153946587999
round:1, iter:6, this-value:-568.1783650635308, time-cost:0.013002634048461914, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:7, this-value:0.0, time-cost:0.012001752853393555, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:8, this-value:-461.4357957881111, time-cost:0.012998342514038086, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:9, this-value:-366.1449388594994, time-cost:0.014999628067016602, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:10, this-value:-415.2374291335778, time-cost:0.014001846313476562, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:11, this-value:-95.86504543075684, time-cost:0.01600170135498047, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:12, this-value:-79.55013686835524, time-cost:0.0220029354095459, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:13, this-value:-77.85506497006186, time-cost:0.021003007888793945, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:14, this-value:-61.77725755904633, time-cost:0.017990827560424805, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:15, this-value:-70.06031460559068, time-cost:0.018003225326538086, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:16, this-value:-90.63351414369674, time-cost:0.015994787216186523, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:17, this-value:-75.20894005311655, time-cost:0.01699972152709961, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:18, this-value:-73.60637133603892, time-cost:0.016030550003051758, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:19, this-value:-58.40595935231507, time-cost:0.014999866485595703, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:20, this-value:-66.2369947897652, time-cost:0.013999700546264648, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:21, this-value:0.0, time-cost:0.014000654220581055, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:22, this-value:-150.62499760069636, time-cost:0.01299905776977539, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:23, this-value:-147.41544686119266, time-cost:0.017000675201416016, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:24, this-value:-116.97276256114814, time-cost:0.014970779418945312, round-best-server:6, round-best-value:-568.1783650635308
round:1, iter:25, this-value:-132.65639928231232, time-cost:0.016661643981933594, round-best-server:6, round-best-value:-568.1783650635308
round:2, iter:1, this-value:-568.1783650635308, time-cost:0.015000104904174805, round-best-server:1, round-best-value:-568.1783650635308
round:2, iter:2, this-value:-782.8639677519849, time-cost:0.015000581741333008, round-best-server:2, round-best-value:-782.8639677519849
round:2, iter:3, this-value:-778.2893994808128, time-cost:0.015998363494873047, round-best-server:2, round-best-value:-782.8639677519849
round:2, iter:4, this-value:-734.8994832616262, time-cost:0.015004396438598633, round-best-server:2, round-best-value:-782.8639677519849
round:2, iter:5, this-value:-757.2533491900153, time-cost:0.017029523849487305, round-best-server:2, round-best-value:-782.8639677519849
round:2, iter:7, this-value:-568.1783650635308, time-cost:0.014967918395996094, round-best-server:2, round-best-value:-782.8639677519849
round:2, iter:8, this-value:-1029.6141608516418, time-cost:0.015999794006347656, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:9, this-value:-934.3233039230302, time-cost:0.015001296997070312, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:10, this-value:-983.4157941971087, time-cost:0.013999223709106445, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:11, this-value:-568.1783650635308, time-cost:0.015030860900878906, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:12, this-value:-647.7285019318861, time-cost:0.015003442764282227, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:13, this-value:-646.0334300335927, time-cost:0.01496744155883789, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:14, this-value:-629.9556226225772, time-cost:0.014998912811279297, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:15, this-value:-638.2386796691214, time-cost:0.014916419982910156, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:16, this-value:-568.1783650635308, time-cost:0.015023469924926758, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:17, this-value:-643.3873051166473, time-cost:0.015974998474121094, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:18, this-value:-641.7847363995697, time-cost:0.015032052993774414, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:19, this-value:-626.5843244158459, time-cost:0.015010595321655273, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:20, this-value:-634.415359853296, time-cost:0.017989635467529297, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:21, this-value:-568.1783650635308, time-cost:0.015000343322753906, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:22, this-value:-718.8033626642272, time-cost:0.014969110488891602, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:23, this-value:-715.5938119247235, time-cost:0.015002727508544922, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:24, this-value:-685.1511276246789, time-cost:0.015001296997070312, round-best-server:8, round-best-value:-1029.6141608516418
round:2, iter:25, this-value:-700.8347643458432, time-cost:0.01599907875061035, round-best-server:8, round-best-value:-1029.6141608516418
round:3, iter:1, this-value:-1029.6141608516418, time-cost:0.013996362686157227, round-best-server:1, round-best-value:-1029.6141608516418
round:3, iter:2, this-value:-1244.2997635400961, time-cost:0.014024734497070312, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:3, this-value:-1029.614160851642, time-cost:0.016007423400878906, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:4, this-value:-1196.3352790497372, time-cost:0.014998435974121094, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:5, this-value:-1218.6891449781263, time-cost:0.015002250671386719, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:7, this-value:-1029.6141608516418, time-cost:0.017969369888305664, round-best-server:2, round-best-value:-1244.2997635400961
round:3, iter:9, this-value:-1395.7590997111413, time-cost:0.014998674392700195, round-best-server:9, round-best-value:-1395.7590997111413
round:3, iter:10, this-value:-1444.8515899852198, time-cost:0.016000747680664062, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:11, this-value:-1029.6141608516418, time-cost:0.01600050926208496, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:12, this-value:-1109.1642977199972, time-cost:0.015999794006347656, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:13, this-value:-1029.6141608516418, time-cost:0.01699972152709961, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:14, this-value:-1091.3914184106882, time-cost:0.015999794006347656, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:15, this-value:-1099.6744754572326, time-cost:0.015001535415649414, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:16, this-value:-1029.6141608516418, time-cost:0.015000104904174805, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:17, this-value:-1104.8231009047586, time-cost:0.016002416610717773, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:18, this-value:-1029.6141608516418, time-cost:0.014998197555541992, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:19, this-value:-1088.0201202039568, time-cost:0.015001058578491211, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:20, this-value:-1095.851155641407, time-cost:0.016005277633666992, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:21, this-value:-1029.6141608516418, time-cost:0.013995647430419922, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:22, this-value:-1180.2391584523384, time-cost:0.01499795913696289, round-best-server:10, round-best-value:-1444.8515899852198
round:3, iter:23, this-value:-1029.6141608516418, time-cost:0.016001462936401367, round-best-server:10, round-best-value:-1444.8515899852198
